0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,,,,3,,3,3,,,,,,,,,,,,,,0
0,,,,,,,3,,,,,,,,,,,,,,0
0,,,,,,,,,,,,,,,,,,,,,0
0,,,,,,,,,,,,,,,,,,,,,0
12,,,,,3,,,,0,3,0,,,,,0,,,,,0
12,,0,0,0,0,0,0,0,0,0,0,,,,,7,,,,,0
12,,,3,3,0,,,,,,7,,,,,7,,,,,0
12,,,,,0,,,,,,7,,,,,7,,,3,,0
12,,,,,0,,,,,,7,,,,,7,,,3,5,0
12,,,,,0,,,,,,7,,,,,7,,,,,0
12,,,,,0,,,,,,7,,,,,7,,,,,0
0,0,0,,,0,0,0,4,0,0,0,,,,,7,,,,,0
0,3,3,,,0,,,,,,0,,,,,7,,,,,0
0,,,,,0,,,,,,0,4,4,4,4,0,,,,,0
0,,,,,0,,,,,,0,,,,,0,,,,,0
0,,,,,2,,,0,0,0,0,3,3,3,3,0,6,6,6,6,0
0,,,,,,,,0,,,,,,,,,,,,,0
0,,,,,,,,0,,,,,,,,,,,4,,0
0,,,,,,,,0,,,,,,,,,4,4,,4,0
0,,,,,,,,0,,,,,,,,,,4,4,4,0
0,,,,,,,,0,,,,,,,,,4,,,,0
0,,,,,,,,0,,,,,,,,0,,4,4,4,0
0,3,3,3,2,2,3,3,0,,,,,,,,,4,4,,4,0
0,0,3,3,11,11,3,0,3,,,,,0,,,,4,4,4,,0
0,,,,,,,,,,,,,3,3,3,3,3,3,8,3,0
0,,,,,,,,,,,,,3,3,3,3,3,3,8,3,0
,,,,,,,,,,,,,3,3,,,,,,,
0,,,,,,,,0,10,10,10,10,3,3,,,,,,,0
,,,,,,,,0,0,0,0,0,3,3,,,,,,,
0,,,,,,,,0,0,0,0,0,3,3,,9,,,,,0
,,,,3,3,,,0,0,0,0,0,3,3,,,,,,,
0,,,,3,3,,,0,0,0,0,0,3,3,,,,,,,0
0,0,0,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
